-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1984 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1984,27.0,81.875,14.94,16.87,25.63,32.57,35.88,34.59,31.7,31.08,26.53,25.29,20.62,16.64,26.03
T2M,1984,27.0,82.5,15.18,17.06,25.74,32.71,35.59,33.69,30.93,30.81,26.5,25.23,20.55,16.43,25.87
T2M,1984,27.0,83.125,15.36,17.25,25.95,32.78,35.2,33.07,30.36,30.41,26.47,25.4,20.54,16.3,25.76
T2M,1984,27.0,83.75,15.5,17.46,26.03,32.65,34.82,32.44,29.47,29.66,26.29,25.1,20.51,16.27,25.52
T2M,1984,27.0,84.375,15.78,17.73,26.13,32.44,34.25,31.81,28.96,29.14,26.24,25.14,20.68,16.66,25.41
T2M,1984,27.0,85.0,15.71,17.8,25.95,31.8,33.22,30.98,28.41,28.61,25.84,24.94,20.47,16.75,25.04
T2M,1984,27.0,85.625,15.22,17.61,25.26,30.69,31.68,29.79,27.59,27.77,25.11,24.13,19.82,16.27,24.25
T2M,1984,27.0,86.25,13.63,16.14,23.21,28.01,28.54,27.62,25.85,25.94,23.54,22.67,18.37,15.24,22.4
T2M,1984,27.0,86.875,12.19,14.9,21.67,26.04,25.99,25.65,24.24,24.48,22.3,21.13,17.21,14.11,20.83
T2M,1984,27.5,81.875,14.56,16.63,24.84,32.27,35.34,34.03,31.23,30.99,26.54,25.39,20.53,16.4,25.73
T2M,1984,27.5,82.5,14.93,17.15,25.18,32.1,34.82,33.1,30.25,30.41,26.29,25.48,20.58,16.51,25.57
T2M,1984,27.5,83.125,15.26,17.57,25.72,31.87,34.27,32.47,29.42,29.68,25.99,25.16,20.21,16.56,25.35
T2M,1984,27.5,83.75,15.21,17.68,25.75,31.34,33.54,31.59,28.52,28.91,25.63,24.57,19.83,16.29,24.91
T2M,1984,27.5,84.375,15.3,17.65,25.56,30.75,32.64,30.62,27.8,28.25,25.29,24.37,19.85,16.46,24.54
T2M,1984,27.5,85.0,13.14,15.52,22.86,27.56,29.11,27.59,25.36,25.66,23.09,22.15,17.71,14.72,22.04
T2M,1984,27.5,85.625,10.43,12.86,19.47,23.73,25.11,24.19,22.52,22.69,20.36,18.96,14.63,12.3,18.94
T2M,1984,27.5,86.25,4.92,7.26,13.1,16.3,18.45,19.14,18.08,18.22,15.76,14.0,9.14,7.46,13.49
